org_id remap_id freebase_id
2144 0 12648
2402 5 7839
2769 8 7729
1057 12 189
2174 14 9895
2663 15 10345
1883 17 5620
1445 21 6099
3052 22 14192
2318 23 5065
2697 24 8130
2193 25 12415
279 26 2882
2047 28 7982
311 29 2547
809 33 9965
2774 36 654
330 37 3882
2660 39 4412
1331 40 5642
1225 43 9482
949 50 13586
841 51 10871
2532 55 5850
2833 56 8384
2255 59 10876
1744 61 6843
2935 64 2627
2639 68 5298
3231 69 6103
1454 78 11045
1581 88 8422
2292 89 10319
709 90 6549
2656 92 7601
2054 94 12985
1723 96 11745
1339 97 2861
3185 98 8524
2099 107 4545
300 108 10438
3111 114 9735
388 116 12989
2694 118 8776
2918 120 14674
2037 121 14586
3179 124 579
1593 125 13371
2052 130 5780
2667 135 3379
1941 137 1656
1052 139 91
955 141 7291
2257 143 10905
814 146 8599
1836 149 3297
408 150 1312
420 151 6741
923 152 4401
1833 160 11505
2266 162 12005
2525 167 2572
3048 168 7827
1371 169 4093
1779 170 11751
1300 174 13487
2690 175 3594
132 176 2519
1224 178 3197
1022 181 4220
2926 182 11965
1342 186 13113
2296 194 6781
1065 195 1841
2311 196 10102
2806 200 11843
517 202 1118
1097 205 4006
918 207 14531
122 209 7786
2644 210 1463
166 211 9143
1936 212 437
2824 213 4756
2668 214 11042
144 216 8191
5 217 4871
3098 222 13860
2288 223 283
270 225 356
2936 227 9120
2045 230 6880
33 231 2226
2262 233 2518
2534 234 12050
118 240 5738
2152 242 8291
315 243 14132
2939 246 12750
2146 247 7461
1016 248 11801
1380 249 1663
116 250 11270
2133 251 5999
2453 254 4482
2006 255 11575
2777 260 10073
129 266 9020
19 267 6774
392 269 4337
562 273 11251
253 274 13460
2786 275 8664
3168 282 7019
1077 284 10564
782 291 2867
1189 292 9187
2191 296 9591
1020 299 13084
1232 300 1294
1835 302 10326
3233 308 3953
3181 313 13142
394 314 8173
1017 317 7828
1627 318 2618
1203 321 13025
3223 323 6148
2118 324 4810
2272 325 12577
3244 326 4005
2293 327 11784
1350 329 11280
30 330 14147
1336 332 5437
2113 333 6598
528 338 4406
410 342 8662
1333 344 7482
2184 345 12409
312 348 14476
1341 350 9987
1747 356 9654
266 357 4028
2399 359 7315
1490 361 12552
1765 363 8589
3183 365 13995
43 367 13977
304 370 2254
945 371 3605
2968 373 1981
1820 378 7843
920 379 1915
1063 382 7478
2840 386 2821
2317 389 3957
1457 392 2335
565 398 5637
12 402 12726
3102 405 12217
314 406 9271
3186 407 9645
1604 408 9049
555 409 14680
1929 411 2946
834 413 2820
808 414 2275
328 415 9121
1886 417 10330
17 424 13481
2912 425 14457
660 426 651
664 429 34
2795 432 13094
3076 434 4546
2922 435 4478
535 441 2146
2712 446 12742
2537 447 2469
3110 448 9449
1439 451 1855
784 453 14455
2796 454 4997
1504 462 9006
2803 465 8600
1773 468 5769
2658 471 286
1056 475 1405
46 476 10732
1816 480 1757
273 483 3461
938 487 9644
1306 489 1943
2036 491 4649
1937 492 8451
277 495 13967
3178 497 12134
1935 498 13740
258 506 605
2950 509 12276
2834 510 4242
2955 511 135
1486 512 9908
3112 514 8323
663 517 97
810 518 9707
303 520 10689
2044 521 10806
2012 523 7118
2763 526 10178
2291 527 10092
2775 528 1085
1927 533 207
3107 538 807
2960 540 6895
2816 542 4797
2025 543 12814
3101 545 6969
460 549 14167
1102 555 13192
1580 556 13836
1021 558 1136
2315 559 5996
1487 560 728
1434 562 10594
2765 564 6239
415 565 7028
1238 566 931
915 567 6836
20 568 14429
39 570 6290
2417 572 11211
407 578 5806
2412 582 2569
316 585 4998
414 586 4299
2981 587 4434
1190 590 5202
3239 595 12041
954 597 12629
1589 601 4783
1325 604 10545
391 607 2640
3224 609 11031
2929 613 5664
419 621 5094
143 622 14048
1335 629 14482
3094 633 1651
2259 637 4164
2120 639 2001
2034 640 6813
299 641 9288
1746 645 7234
1764 652 11024
459 654 14120
2145 655 10045
581 663 13491
2055 665 4414
2395 666 2139
1632 667 7415
530 669 14157
2703 674 11661
2010 675 9492
2026 676 11347
1483 681 12044
1940 683 4614
2253 685 6838
1376 686 6167
2111 688 12222
2143 692 6019
2665 693 3781
1379 694 14649
3063 695 9391
2250 696 8516
1592 701 10549
1758 703 6749
252 706 10029
393 710 5421
2196 711 1019
34 713 13785
2966 714 3787
2919 717 7274
2562 718 5320
2704 722 13789
2446 723 13776
3119 728 13469
1115 732 8699
1062 733 11919
455 734 4001
2635 737 10117
318 738 14491
2455 739 10097
1730 740 12291
454 741 5348
1729 744 14201
1230 746 10086
2195 747 880
2015 748 788
2652 749 13629
1067 751 12782
1311 756 14054
1602 762 5278
2059 764 10163
2418 766 1387
1206 770 13821
1943 774 5370
524 776 11598
183 777 2914
2970 778 6913
2290 779 13501
3066 782 6799
