781	Stealing Beauty (1996)	http://dbpedia.org/resource/Stealing_Beauty
1799	Suicide Kings (1997)	http://dbpedia.org/resource/Suicide_Kings
521	Romeo Is Bleeding (1993)	http://dbpedia.org/resource/Romeo_Is_Bleeding
3596	Screwed (2000)	http://dbpedia.org/resource/Screwed_(2000_film)
3682	Magnum Force (1973)	http://dbpedia.org/resource/Magnum_Force
2635	Mummy's Curse, The (1944)	http://dbpedia.org/resource/The_Mummy's_Curse
1590	Event Horizon (1997)	http://dbpedia.org/resource/Event_Horizon_(film)
116	Anne Frank Remembered (1995)	http://dbpedia.org/resource/Anne_Frank_Remembered
3719	Love's Labour's Lost (2000)	http://dbpedia.org/resource/Love's_Labour's_Lost_(2000_film)
3811	Breaker Morant (1980)	http://dbpedia.org/resource/Breaker_Morant_(film)
3801	Anatomy of a Murder (1959)	http://dbpedia.org/resource/Anatomy_of_a_Murder
2173	Navigator: A Mediaeval Odyssey, The (1988)	http://dbpedia.org/resource/The_Navigator:_A_Medieval_Odyssey
2908	Boys Don't Cry (1999)	http://dbpedia.org/resource/Boys_Don't_Cry_(film)
2816	Iron Eagle II (1988)	http://dbpedia.org/resource/Iron_Eagle_II
2243	Broadcast News (1987)	http://dbpedia.org/resource/Broadcast_News_(film)
3553	Gossip (2000)	http://dbpedia.org/resource/Gossip_(2000_American_film)
3344	Blood Feast (1963)	http://dbpedia.org/resource/Blood_Feast_(1972_film)
2095	Shaggy D.A., The (1976)	http://dbpedia.org/resource/The_Shaggy_D.A.
2	Jumanji (1995)	http://dbpedia.org/resource/Jumanji
2950	Blue Lagoon, The (1980)	http://dbpedia.org/resource/Blue_Lagoon:_The_Awakening
1705	Guy (1996)	http://dbpedia.org/resource/Guy_(film)
785	Kingpin (1996)	http://dbpedia.org/resource/Kingpin
3861	Replacements, The (2000)	http://dbpedia.org/resource/The_Replacements_(film)
3942	Sorority House Massacre II (1990)	http://dbpedia.org/resource/Sorority_House_Massacre_II
2005	Goonies, The (1985)	http://dbpedia.org/resource/The_Goonies
2636	Mummy's Ghost, The (1944)	http://dbpedia.org/resource/The_Mummy's_Ghost
834	Phat Beach (1996)	http://dbpedia.org/resource/Phat_Beach
392	Secret Adventures of Tom Thumb, The (1993)	http://dbpedia.org/resource/The_Secret_Adventures_of_Tom_Thumb
117	Young Poisoner's Handbook, The (1995)	http://dbpedia.org/resource/The_Young_Poisoner's_Handbook
162	Crumb (1994)	http://dbpedia.org/resource/Crumb_(film)
2263	Seventh Sign, The (1988)	http://dbpedia.org/resource/The_Seventh_Sign
3802	Freejack (1992)	http://dbpedia.org/resource/Freejack
2682	Limbo (1999)	http://dbpedia.org/resource/Limbo_(1999_film)
1727	Horse Whisperer, The (1998)	http://dbpedia.org/resource/The_Horse_Whisperer_(film)
2244	Allnighter, The (1987)	http://dbpedia.org/resource/The_Allnighter_(film)
3218	Poison (1991)	http://dbpedia.org/resource/Poison_(film)
3812	Everything You Always Wanted to Know About Sex (1972)	http://dbpedia.org/resource/Everything_You_Always_Wanted_to_Know_About_Sex*_(*But_Were_Afraid_to_Ask)
3943	Bamboozled (2000)	http://dbpedia.org/resource/Bamboozled
692	Solo (1996)	http://dbpedia.org/resource/Solo_(1996_film)
2521	Airport 1975 (1974)	http://dbpedia.org/resource/Airport_1975
3548	Auntie Mame (1958)	http://dbpedia.org/resource/Auntie_Mame_(film)
934	Father of the Bride (1950)	http://dbpedia.org/resource/Father_of_the_Bride_(1950_film)
3	Grumpier Old Men (1995)	http://dbpedia.org/resource/Grumpier_Old_Men
2245	Working Girl (1988)	http://dbpedia.org/resource/Working_Girl
3094	Maurice (1987)	http://dbpedia.org/resource/Maurice_(film)
1577	Mondo (1996)	http://dbpedia.org/resource/Mondo_cane
2174	Beetlejuice (1988)	http://dbpedia.org/resource/Beetlejuice
1445	McHale's Navy (1997)	http://dbpedia.org/resource/McHale's_Navy_(1997_film)
1707	Home Alone 3 (1997)	http://dbpedia.org/resource/Home_Alone_3
1921	Pi (1998)	http://dbpedia.org/resource/Pi_(film)
522	Romper Stomper (1992)	http://dbpedia.org/resource/Romper_Stomper
2000	Lethal Weapon (1987)	http://dbpedia.org/resource/Lethal_Weapon
3345	Charlie, the Lonesome Cougar (1967)	http://dbpedia.org/resource/Charlie,_the_Lonesome_Cougar
2134	Weird Science (1985)	http://dbpedia.org/resource/Weird_Science_(film)
3549	Guys and Dolls (1955)	http://dbpedia.org/resource/Guys_and_Dolls_(film)
552	Three Musketeers, The (1993)	http://dbpedia.org/resource/The_Three_Musketeers_(1993_film)
1728	Winter Guest, The (1997)	http://dbpedia.org/resource/The_Winter_Guest
3944	Bootmen (2000)	http://dbpedia.org/resource/Bootmen
2951	Fistful of Dollars, A (1964)	http://dbpedia.org/resource/A_Fistful_of_Dollars
1178	Paths of Glory (1957)	http://dbpedia.org/resource/Paths_of_Glory
2763	Thomas Crown Affair, The (1999)	http://dbpedia.org/resource/The_Thomas_Crown_Affair_(1999_film)
2817	Aces: Iron Eagle III (1992)	http://dbpedia.org/resource/Aces:_Iron_Eagle_III
3813	Interiors (1978)	http://dbpedia.org/resource/Interiors
118	If Lucy Fell (1996)	http://dbpedia.org/resource/If_Lucy_Fell
3862	About Adam (2000)	http://dbpedia.org/resource/About_Adam
2522	Airport '77 (1977)	http://dbpedia.org/resource/Airport_'77
2246	Stars and Bars (1988)	http://dbpedia.org/resource/Stars_and_bars
2683	Austin Powers: The Spy Who Shagged Me (1999)	http://dbpedia.org/resource/Austin_Powers:_The_Spy_Who_Shagged_Me
3037	Little Big Man (1970)	http://dbpedia.org/resource/Little_Big_Man_(film)
517	Rising Sun (1993)	http://dbpedia.org/resource/Rising_Sun_(film)
1483	Crash (1996)	http://dbpedia.org/resource/Crash_(1996_film)
1446	Kolya (1996)	http://dbpedia.org/resource/Kolya
2520	Airport (1970)	http://dbpedia.org/resource/Airport_(1970_film)
3462	Modern Times (1936)	http://dbpedia.org/resource/Modern_Times_(film)
523	Ruby in Paradise (1993)	http://dbpedia.org/resource/Ruby_in_Paradise
2247	Married to the Mob (1988)	http://dbpedia.org/resource/Married_to_the_Mob
2024	Rapture, The (1991)	http://dbpedia.org/resource/Rapture_(1965_film)
3683	Blood Simple (1984)	http://dbpedia.org/resource/Blood_Simple
119	Steal Big, Steal Little (1995)	http://dbpedia.org/resource/Steal_Big_Steal_Little
2310	Mighty, The (1998)	http://dbpedia.org/resource/The_Mighty
1729	Jackie Brown (1997)	http://dbpedia.org/resource/Jackie_Brown_(film)
388	Boys Life (1995)	http://dbpedia.org/resource/Boys_Life_(film)
2555	Baby Geniuses (1999)	http://dbpedia.org/resource/Baby_Geniuses
3424	Do the Right Thing (1989)	http://dbpedia.org/resource/Do_the_Right_Thing
1623	Wishmaster (1997)	http://dbpedia.org/resource/Wishmaster_(film)
3945	Digimon: The Movie (2000)	http://dbpedia.org/resource/Digimon:_The_Movie
3038	Face in the Crowd, A (1957)	http://dbpedia.org/resource/A_Face_in_the_Crowd_(film)
3219	Pacific Heights (1990)	http://dbpedia.org/resource/Pacific_Heights_(film)
1434	Stranger, The (1994)	http://dbpedia.org/resource/The_Stranger_(1995_film)
3555	U-571 (2000)	http://dbpedia.org/resource/U-571_(film)
3346	Color Me Blood Red (1965)	http://dbpedia.org/resource/Color_Me_Blood_Red
251	Hunted, The (1995)	http://dbpedia.org/resource/Hunted_(film)
1876	Deep Impact (1998)	http://dbpedia.org/resource/Deep_Impact_(film)
2248	Say Anything... (1989)	http://dbpedia.org/resource/Say_Anything...
2779	Heaven Can Wait (1978)	http://dbpedia.org/resource/Heaven_Can_Wait_(1978_film)
1350	Omen, The (1976)	http://dbpedia.org/resource/The_Omen
120	Race the Sun (1996)	http://dbpedia.org/resource/Race_the_Sun
3166	Brenda Starr (1989)	http://dbpedia.org/resource/Brenda_Starr_(film)
935	Band Wagon, The (1953)	http://dbpedia.org/resource/The_Band_Wagon
2001	Lethal Weapon 2 (1989)	http://dbpedia.org/resource/Lethal_Weapon_2
1046	Beautiful Thing (1996)	http://dbpedia.org/resource/Beautiful_Thing_(film)
1015	Homeward Bound: The Incredible Journey (1993)	http://dbpedia.org/resource/Homeward_Bound:_The_Incredible_Journey
2818	Iron Eagle IV (1995)	http://dbpedia.org/resource/Iron_Eagle_on_the_Attack
3425	Mo' Better Blues (1990)	http://dbpedia.org/resource/Mo'_Better_Blues
1484	Daytrippers, The (1996)	http://dbpedia.org/resource/The_Daytrippers
913	Maltese Falcon, The (1941)	http://dbpedia.org/resource/The_Maltese_Falcon_(1941_film)
1730	Kundun (1997)	http://dbpedia.org/resource/Kundun
782	Fan, The (1996)	http://dbpedia.org/resource/The_Fan_(1996_film)
440	Dave (1993)	http://dbpedia.org/resource/Dave_(film)
1447	Gridlock'd (1997)	http://dbpedia.org/resource/Gridlock'd
2096	Sleeping Beauty (1959)	http://dbpedia.org/resource/Sleeping_Beauty_(1959_film)
